tick,time_s,p_front_Torr,p_wake_Torr,p_free_Torr
1,0.01,1.60E-10,6.72E-13,1.60E-10
2,0.02,1.60E-10,7.34E-13,1.60E-10
3,0.03,1.60E-10,6.14E-13,1.60E-10
4,0.04,1.60E-10,6.40E-13,1.60E-10
5,0.05,1.60E-10,7.16E-13,1.60E-10
6,0.06,1.59E-10,7.37E-13,1.60E-10
7,0.07,1.60E-10,7.12E-13,1.60E-10
8,0.08,1.60E-10,6.75E-13,1.60E-10
9,0.09,1.60E-10,6.52E-13,1.60E-10
10,0.1,1.59E-10,6.98E-13,1.60E-10
11,0.11,1.60E-10,7.09E-13,1.60E-10
12,0.12,1.59E-10,6.58E-13,1.60E-10
13,0.13,1.59E-10,7.45E-13,1.60E-10
14,0.14,1.59E-10,6.92E-13,1.59E-10
15,0.15,1.60E-10,7.06E-13,1.60E-10
16,0.16,1.60E-10,6.82E-13,1.60E-10
17,0.17,1.60E-10,6.88E-13,1.60E-10
18,0.18,1.60E-10,6.64E-13,1.60E-10
19,0.19,1.60E-10,6.90E-13,1.60E-10
20,0.2,1.60E-10,6.81E-13,1.60E-10
