tick,time_s,status,act_temp_K,target_temp_K,heatInput_w,underflux_streak,temp_miss_streak
1,60,1,300,300,0,0,0
2,120,1,300,300,0,0,0
3,180,1,300,300,0,0,0
4,240,1,300,300,0,0,0
5,300,1,390,1216.99,1500,0,0
6,360,1,471.9,1216.99,1500,0,0
7,420,1,546.429,1216.99,1500,0,0
8,480,1,614.25,1216.99,1500,0,0
9,540,1,675.968,1216.99,1500,0,0
10,600,1,732.131,1216.99,1500,0,0
11,660,1,783.239,1216.99,1500,0,0
12,720,1,829.747,1216.99,1500,0,0
13,780,1,872.07,1216.99,1500,0,0
14,840,1,910.584,1216.99,1500,0,0
15,900,1,945.631,1216.99,1500,0,0
16,960,1,977.525,1216.99,1500,0,0
17,1020,1,1006.55,1216.99,1500,0,0
18,1080,1,1032.96,1216.99,1500,0,0
19,1140,1,1056.99,1216.99,1500,0,0
20,1200,1,1078.86,1216.99,1500,0,0
21,1260,1,1098.76,1216.99,1500,0,0
22,1320,1,1116.88,1216.99,1500,0,0
23,1380,1,1133.36,1216.99,1500,0,0
24,1440,1,1148.36,1216.99,1500,0,1
25,1500,1,1162,1216.99,1500,0,2
26,1560,1,1174.42,1216.99,1500,0,0
27,1620,1,1185.72,1216.99,1500,0,0
28,1680,1,1196.01,1216.99,1500,0,0
29,1740,1,1205.37,1216.99,1500,0,0
30,1800,1,1213.89,1216.99,1500,0,0
31,1860,1,1221.64,1216.99,1500,0,0
32,1920,1,1228.69,1216.99,1500,0,0
33,1980,1,1235.11,1216.99,1500,0,0
34,2040,1,1240.95,1216.99,1500,0,0
35,2100,1,1246.26,1216.99,1500,0,0
36,2160,1,1251.1,1216.99,1500,0,0
37,2220,1,1255.5,1216.99,1500,0,0
38,2280,1,1259.5,1216.99,1500,0,0
39,2340,1,1263.15,1216.99,1500,0,0
40,2400,1,1266.47,1216.99,1500,0,0
41,2460,1,1269.48,1216.99,1500,0,0
42,2520,1,1195.25,1216.99,217.04,0,0
43,2580,1,1114.68,1216.99,0,1,0
44,2640,1,1041.36,1216.99,0,2,1
45,2700,1,974.636,1216.99,0,3,2
46,2760,1,913.919,1216.99,0,4,3
47,2820,1,858.666,300,0,0,0
48,2880,1,808.386,300,0,0,0
49,2940,1,762.632,300,0,0,0
50,3000,1,720.995,300,0,0,0
51,3060,1,683.105,300,0,0,0
52,3120,1,648.626,300,0,0,0
53,3180,1,617.249,300,0,0,0
54,3240,1,588.697,300,0,0,0
55,3300,1,562.714,300,0,0,0
56,3360,1,539.07,300,0,0,0
57,3420,1,517.554,300,0,0,0
58,3480,1,497.974,300,0,0,0
59,3540,1,480.156,300,0,0,0
60,3600,1,463.942,300,0,0,0
61,3660,1,449.187,300,0,0,0
62,3720,1,435.761,300,0,0,0
63,3780,1,423.542,300,0,0,0
64,3840,1,412.423,300,0,0,0
65,3900,1,402.305,300,0,0,0
66,3960,1,393.098,300,0,0,0
