tick,time_s,status,ran_steps,cum_steps,reload,mark_reload
1,0,1,0,0,0,0
2,0,1,0,0,0,1
3,0,1,0,0,1,0
4,0,1,0,10000,0,1
5,0,1,0,10000,1,0
6,0,1,0,112500,0,1
7,0,1,0,112500,1,0
8,0,1,0,235000,0,1
9,0,1,0,235000,1,0
10,0,1,0,285000,0,1
11,0,1,0,285000,1,0
12,0,1,0,460000,0,1
13,0,1,0,460000,1,0
14,0,1,0,547500,0,1
15,0,1,0,547500,1,0
16,0,1,0,685000,0,1
17,0,1,0,685000,1,0
18,0,1,0,757500,0,1
19,0,1,0,757500,1,0
20,0,1,0,910000,0,1
21,0,1,0,910000,1,0
22,0,1,0,977500,0,1
23,0,1,0,977500,1,0
24,0,1,0,1.135e+06,0,1
25,0,1,0,1.135e+06,1,0
26,0,1,0,1.2475e+06,0,1
27,0,1,0,1.2475e+06,1,0
