profile,primary_dim,shape_param,thickness,coating_type,z_offset,xy_offset_x,xy_offset_y,mass,mean_deflection_deg,hit_ratio,wafer_flux_m2s,wake_intrusion_ratio,wake_type
pyramid,3.3178057303821538,1.0832226929292008,0.0024232480554610423,specular,-1.2980382201941145,0.008439827866835392,-0.004604642023080731,424.7080652242773,84.90826583490825,0.0,0.0,0.112,PyramidWake
flat,4.297114763645858,0.0,0.002757050367169718,diffuse,-1.0288940992098394,-0.010264114219976118,-0.01062477316595152,431.8294351100287,45.39460313818804,0.0,0.0,0.3064,WakeCone
cap,3.4953382274209797,1.5762877847583834,0.002720230958674813,specular,-1.1705029072821453,0.04142543019971913,0.003921889232883814,18.572843162446176,89.96873855023352,0.0,0.0,0.6566,WakeCone
cupola,2.7122794974824944,1.0,0.002922967367450811,specular,-1.2801802537452485,-0.04673725376026645,0.002390961164584829,862.6887925504508,101.36489337722205,0.006,3.302971134390572e+18,0.7359,WakeCone
cap,1.7803413406556536,1.983172238122423,0.0027380398360622514,diffuse,-1.493429160987608,-0.01823470949579286,0.012073115962138128,11.810343428817852,60.28405100110249,0.0,0.0,0.3891,WakeCone
flat,5.9957121070527,0.0,0.0016899896192016251,specular,-1.383101525403769,0.030775597510266803,0.015872352844419846,515.3226323689044,12.803086407037245,0.0,0.0,0.3042,WakeCone
flat,5.794451634824205,0.0,0.001757638623285107,specular,-1.2136897066930126,0.019450022421603014,0.031110047720043207,500.5735623907972,13.042124228340024,0.0,0.0,0.3153,WakeCone
flat,4.557595405341463,0.0,0.002746134681980255,diffuse,-1.4756861842139677,-0.01808618302694004,-0.042698214136544156,483.84583522418507,44.97603241413784,0.0,0.0,0.309,WakeCone
pyramid,2.706028697701652,0.8345274995856498,0.002815031544808771,specular,-1.3136875925559255,-0.018882002825664934,0.01538873569643591,289.9616592715265,99.9994796440524,0.0,0.0,0.1124,PyramidWake
cupola,1.0399981124619169,1.0,0.0015868395611262009,specular,-1.2222942639657628,0.010857612291047126,0.016836838271926155,68.8587965776177,102.10432169403217,0.0,0.0,0.4537,WakeCone
flat,3.4585243516707833,0.0,0.0018546016958309356,diffuse,-1.4194278949509715,0.03263552749078079,-0.015288329965775685,188.16808507161372,45.23224639343055,0.0,0.0,0.3092,WakeCone
flat,3.3292564044332025,0.0,0.0028002032148544283,diffuse,-1.0547379563463988,-0.02250775388496891,0.04991363833144111,263.2677576791788,45.59832993770965,0.0,0.0,0.3087,WakeCone
cap,3.3291997164828766,2.7940892424878934,0.002516924428643504,specular,-1.204527826095198,-0.01818639302651475,-0.02836216852976079,5.469319093782417,89.29002277580081,0.0,0.0,0.6533,WakeCone
flat,3.6706252280789884,0.0,0.001547707312041572,diffuse,-1.1962120170758168,-0.04860646841074378,0.02599560031056973,176.88156071719166,45.283752410027446,0.0,0.0,0.3069,WakeCone
cupola,2.121730886673457,1.0,0.002306263803762273,specular,-1.4502969135834234,0.005500097604886546,-0.006742317725877009,416.53441259996305,101.39742079474068,0.0121,4.078478105263348e+18,0.6136,WakeCone
cap,5.392757642945217,2.4594319661939297,0.0022095825610671162,specular,-1.0350304987009564,-0.0028319561935840204,-0.0016254712816410333,6.197039142072098,90.26146588923429,0.0,0.0,0.6563,WakeCone
