profile,primary_dim,shape_param,thickness,coating_type,z_offset,xy_offset_x,xy_offset_y,mass,mean_deflection_deg,hit_ratio,wafer_flux_m2s,wake_intrusion_ratio,wake_type
pyramid,5.8418342613223135,1.17660809531818,0.0015997089097234544,diffuse,-5.39202959885148,-0.029755923943951424,0.03998542954416781,910.4442146791174,55.61359809973602,0.0,0.0,0.2271,PyramidWake
cupola,2.1224205084130117,1.0,0.0017398095822100661,specular,-5.373493308758163,-0.003383677743179825,-0.0008230335879918921,314.4313877033551,101.40566515256828,0.0016,2.16871986243403e+18,0.971,WakeCone
cap,4.332676765105849,2.3244207571218296,0.0017593981873049221,diffuse,-5.249571786564051,-0.040634086177702936,0.02204840449611327,5.524313069756652,59.89980997009906,0.0,0.0,0.4333,WakeCone
flat,4.637251787300823,0.0,0.0020863816139623514,specular,-5.187773614831977,0.009551137316796562,0.024077493547548026,380.56490705409504,12.89282407407923,0.0,0.0,0.305,WakeCone
cap,1.903320892582894,2.033671483707121,0.0021239409880136556,diffuse,-5.388689095312092,-0.0335517064352758,-0.010723237514170703,8.712132676651175,59.39822474546687,0.0,0.0,0.4305,WakeCone
flat,5.594079754170465,0.0,0.0018972572381707891,specular,-5.285756569708793,0.02045263763175631,-0.04695571113835967,503.6132673198526,12.84098267630769,0.0,0.0,0.3067,WakeCone
flat,2.190248910398969,0.0,0.0015883784846865703,specular,-5.449806804600089,0.03150101689107854,0.013715985704105232,64.63303927565835,12.727981301926235,0.0,0.0,0.3092,WakeCone
cupola,5.587550868256533,1.0,0.0024390367179628453,specular,-5.314453510458714,-0.005073902797286603,-0.03787826921853861,3055.080267942692,101.13304549685981,0.0006,5.58929633542179e+18,0.9738,WakeCone
flat,1.7986214764661037,0.0,0.0018508226362785917,diffuse,-5.073380491860485,-0.04413054429561102,-0.048062914495627954,50.78763490333774,44.9247499996559,0.0,0.0,0.2997,WakeCone
cap,3.337859605086053,1.5168916235235823,0.0016288753435073713,specular,-5.2627523045265265,0.036861058562209434,0.021363738262160287,12.009429462892655,89.90284740291364,0.0,0.0,0.6576,WakeCone
cupola,5.4063075928078845,1.0,0.002434541573840101,specular,-5.225623517972581,0.013642847561097876,-0.0113837369186051,2854.8283765088004,101.30053564670342,0.0006,5.21047288388518e+18,0.9721,WakeCone
cupola,5.470619303971438,1.0,0.0019302055936136952,specular,-5.459591647400645,-0.045393830591513744,0.0466643159136676,2317.5967016323907,101.35220751474574,0.0006,5.336014790054558e+18,0.9736,WakeCone
cap,2.8152618720571216,1.5502114291597286,0.0015424858842942508,diffuse,-5.3152673788722336,-0.048786473243645725,-0.031190479946007755,10.888873737854468,59.66609605530155,0.0,0.0,0.44,WakeCone
cap,1.8441803140399728,1.7211622633890706,0.001991163756714663,diffuse,-5.218404811360439,-0.01843204405241318,0.015902493921258254,11.402681138075915,60.44334050916157,0.0,0.0,0.4444,WakeCone
flat,2.6600892345410485,0.0,0.0019631390678013067,specular,-5.294202174440294,0.04582607074463492,-0.04452016364487347,117.83033540893304,12.829878977178842,0.0,0.0,0.3095,WakeCone
pyramid,4.8394641728092305,0.8457418895158828,0.0015144126767462703,specular,-5.2532906111475235,0.018393944555705338,0.032636313453664384,501.68368614086836,99.13028730613351,0.0,0.0,0.9282,PyramidWake
pyramid,3.5487519342542413,1.2538296882189859,0.0017312411518512017,diffuse,-5.396875351616861,-0.04132718937607717,0.010273238878246937,377.6379168379905,55.073846739094314,0.0,0.0,0.2263,PyramidWake
cap,5.8633952534383775,2.677879021737855,0.001849627893619198,specular,-5.354935663267336,-0.04788446156746086,-0.005111783233272826,4.375685428491828,89.98795905754159,0.0,0.0,0.6548,WakeCone
cupola,1.9376440270101682,1.0,0.0015699886752981456,diffuse,-5.391388246520038,0.02488868820767741,0.03079791564689574,236.48620641229513,62.039645130705324,0.0022,2.4885303982676623e+18,0.225,WakeCone
cap,1.1417443131239353,1.5708382877207325,0.0018129232350303493,specular,-5.0546728350748795,-0.04139907342872643,-0.04971924319294938,12.464076075325254,88.420382816408,0.0,0.0,0.6521,WakeCone
flat,1.8374624938316182,0.0,0.002647139301513804,specular,-5.132595962658017,-0.016650436263236923,0.027807787455391655,75.81015750227523,12.739844986895806,0.0,0.0,0.3115,WakeCone
pyramid,4.010861913995681,1.4639173129060714,0.0015124456713520634,specular,-5.3599112575004035,0.04010060529392631,-0.0022430103705625357,465.85941155535306,68.21533056683666,0.0,0.0,0.1458,PyramidWake
pyramid,1.2958315428920715,1.0651562239866426,0.00285470456548273,specular,-5.183462949550287,0.04471935838226841,0.0017273982868061463,75.63729298772628,86.13509202606205,0.0,0.0,0.3346,PyramidWake
pyramid,1.0506745604766201,0.9152236606370704,0.002547359555447257,specular,-5.141383520258272,-0.024802843699811984,0.020902976766225406,41.16991674404001,94.95419405614268,0.0,0.0,0.8352,PyramidWake
cap,1.7413085757870352,1.867767094217295,0.002430528765543028,specular,-5.256987893399731,-0.020348928167438052,0.00014729825375701944,11.819496004035434,89.07520347421168,0.0,0.0,0.6501,WakeCone
cupola,4.231323274633068,1.0,0.0026949140879562257,specular,-5.2915546304000545,0.04849442772717462,0.0036226684772566603,1935.791798234089,101.28483338183456,0.001,5.360974321125621e+18,0.9712,WakeCone
cap,3.968519814646717,2.3382178066971835,0.002404388616820947,specular,-5.173550631423376,0.006661504459433719,-0.03417440851773982,7.4606792402369315,89.79906445316625,0.0,0.0,0.6548,WakeCone
cupola,5.293163144235368,1.0,0.0023587113384242824,diffuse,-5.448184527041055,0.00557703249103382,0.008135192086709299,2651.3475553379403,60.90770262107508,0.0006,5.014676678266774e+18,0.3617,WakeCone
cap,2.7195913745622926,2.5490082098535494,0.001591489284702083,diffuse,-5.426305899692257,-0.02502911612323058,0.019740209495625244,4.155323909814828,60.119203512255915,0.0,0.0,0.4396,WakeCone
cupola,5.8417538037437495,1.0,0.0028442737150530524,diffuse,-5.043437526334782,0.031054800215295664,0.04238264485523212,3894.2084507540117,61.54128137147445,0.0,0.0,0.3704,WakeCone
flat,4.5546763961431145,0.0,0.0024387361688514926,diffuse,-5.388410640736055,0.04461839638066281,-0.03828352485296954,429.1345771790423,45.28356155133539,0.0,0.0,0.3098,WakeCone
cap,4.294447294591894,2.6692655733068325,0.001964395356154603,diffuse,-5.20694221751442,-0.03467432847056713,-0.02349536840624358,4.677232523113187,59.97416527153873,0.0,0.0,0.4336,WakeCone
flat,5.749407872676158,0.0,0.0022817688516618925,diffuse,-5.057246332056211,0.04015176929675572,0.04341839013696604,639.7812716259303,45.202714337012026,0.0,0.0,0.3015,WakeCone
cap,4.232858442788359,1.748864837443824,0.0024023516360644225,specular,-5.331179732651506,0.006756189197606878,-0.01060897534166557,13.325015311179651,89.63823465271274,0.0,0.0,0.6592,WakeCone
pyramid,3.723105019591428,1.0658266044087217,0.002188996822826429,specular,-5.39958299799753,0.014818744436567846,-0.006575818246070307,478.9373388932068,85.9896351263358,0.0,0.0,0.3158,PyramidWake
flat,5.002881815351673,0.0,0.0015894254262722176,specular,-5.410163419043399,0.033933919676674015,0.010324376501768331,337.43822671366087,13.121513390460988,0.0,0.0,0.3094,WakeCone
cap,2.411876964128475,2.3593094004053996,0.0020676529463144154,specular,-5.340127627035463,-0.020918468300878526,-0.03642888925603574,6.301609408989775,89.98174514029277,0.0,0.0,0.6576,WakeCone
pyramid,1.1750934604900674,1.312186811559312,0.0019319078145447822,diffuse,-5.35656543989674,-0.04694902762128444,0.03775952698465977,47.53196942403977,54.28714293159023,0.0,0.0,0.2374,PyramidWake
cupola,3.1898465230874837,1.0,0.0027978255881528596,diffuse,-5.032351767750168,0.04884388626969903,-0.008728535176750096,1142.1457300510228,61.904997415042644,0.0018,5.486045026884256e+18,0.2936,WakeCone
cupola,3.024243946182902,1.0,0.002285139923014259,specular,-5.403193347921879,0.003044041503530527,0.03188038595781899,838.5090316118799,101.32120748860712,0.0013,3.5698460896045455e+18,0.9706,WakeCone
pyramid,3.4030164659086766,1.2437027263558962,0.0018711154513213518,diffuse,-5.124483764897842,0.03688909189619012,-0.02858825451455177,373.4647024754569,55.38900954610743,0.0,0.0,0.2439,PyramidWake
cap,3.9611669332015538,2.671984217758851,0.0017689262003179119,diffuse,-5.043061505749081,0.049700044730761006,0.014269212898410155,4.20325336926635,59.917904014880946,0.0,0.0,0.4274,WakeCone
flat,1.7363878451370387,0.0,0.0017370029601619925,specular,-5.42195696220175,-0.04956147055727498,0.043421006878039556,44.42297804313221,12.917719620968576,0.0,0.0,0.3049,WakeCone
cap,5.322378348759116,1.6217908381387276,0.0029059089282899506,diffuse,-5.402565357714648,-0.005592278299531919,-0.025316379972091376,18.742863680087364,60.13070247464224,0.0,0.0,0.4315,WakeCone
flat,4.644148561565551,0.0,0.0015284231221766062,diffuse,-5.246547537591565,-0.030546435654565142,-0.010177116274136658,279.620780638824,44.90695062138925,0.0,0.0,0.3023,WakeCone
cupola,1.2069329543350613,1.0,0.002124251477443643,specular,-5.103103302449776,-0.001738100602628967,0.01362046285541993,124.14622752614609,101.69899071677642,0.0,0.0,0.9697,WakeCone
cupola,2.173970818383057,1.0,0.0019172588442910796,specular,-5.1318042306190925,-0.0032217027970666626,0.007174606935186581,363.5377183999426,101.48363264003535,0.002,2.841757449886363e+18,0.9727,WakeCone
pyramid,1.1797926747449723,1.2428019236197043,0.0024937031504919036,specular,-5.31536235014269,0.03165978946449406,0.012869907097908001,59.79790373878947,77.31723193087078,0.0,0.0,0.1728,PyramidWake
