Minute,Module,TaskID,Phase,Active,Calibrating,Cooldown,Elapsed,Required,EnergyUsed,BatteryLevel,PowerAvailable,Interrupted,Defective,Orbit,Action,Reward
0,Deposition,T_1,0,1,0,0,1,60,300,250,300,0,0,sunlight,run,0
1,Deposition,T_1,0,1,0,0,2,60,600,250,300,0,0,sunlight,run,0
2,Deposition,T_1,0,1,0,0,3,60,900,250,300,0,0,sunlight,run,0
3,Deposition,T_1,0,1,0,0,4,60,1200,250,300,0,0,sunlight,run,0
4,Deposition,T_1,0,1,0,0,5,60,1500,250,300,0,0,sunlight,run,0
5,Deposition,T_1,0,1,0,0,6,60,1800,250,300,0,0,sunlight,run,0
6,Deposition,T_1,0,1,0,0,7,60,2100,250,300,0,0,sunlight,run,0
7,Deposition,T_1,0,1,0,0,8,60,2400,250,300,0,0,sunlight,run,0
8,Deposition,T_1,0,1,0,0,9,60,2700,250,300,0,0,sunlight,run,0
9,Deposition,T_1,0,1,0,0,10,60,3000,250,300,0,0,sunlight,run,0
10,Deposition,T_1,0,1,0,0,11,60,3300,250,300,0,0,sunlight,run,0
11,Deposition,T_1,0,1,0,0,12,60,3600,250,300,0,0,sunlight,run,0
12,Deposition,T_1,0,1,0,0,13,60,3900,250,300,0,0,sunlight,run,0
13,Deposition,T_1,0,1,0,0,14,60,4200,250,300,0,0,sunlight,run,0
14,Deposition,T_1,0,1,0,0,15,60,4500,250,300,0,0,sunlight,run,0
15,Deposition,T_1,0,1,0,0,16,60,4800,250,300,0,0,sunlight,run,0
16,Deposition,T_1,0,1,0,0,17,60,5100,250,300,0,0,sunlight,run,0
17,Deposition,T_1,0,1,0,0,18,60,5400,250,300,0,0,sunlight,run,0
18,Deposition,T_1,0,1,0,0,19,60,5700,250,300,0,0,sunlight,run,0
19,Deposition,T_1,0,1,0,0,20,60,6000,250,300,0,0,sunlight,run,0
20,Deposition,T_1,0,1,0,0,21,60,6300,250,300,0,0,sunlight,run,0
21,Deposition,T_1,0,1,0,0,22,60,6600,250,300,0,0,sunlight,run,0
22,Deposition,T_1,0,1,0,0,23,60,6900,250,300,0,0,sunlight,run,0
23,Deposition,T_1,0,1,0,0,24,60,7200,250,300,0,0,sunlight,run,0
24,Deposition,T_1,0,1,0,0,25,60,7500,250,300,0,0,sunlight,run,0
