timestamp,task_id,task_phase_id,task_phase_name,phase_time_remaining(min),phase_power_demand(w),phase_power_used(w),phase_energy_consumed_cum(w),battery_level,task_phase_status,failure_event,orbital_phase,task_throughput_counter
0,T_0,T_0_deposition,deposition,59,72,72,150,48,processing,0,sunlight,0
0,T_0,T_0_ion_imp,ion_imp,20,0,0,0,76,waiting,0,sunlight,0
0,T_0,T_0_cry_grw,cry_grw,120,0,0,0,78,waiting,0,sunlight,0
0,T_1,T_1_deposition,deposition,60,0,0,0,46,waiting,0,sunlight,0
0,T_1,T_1_ion_imp,ion_imp,20,0,0,0,83,waiting,0,sunlight,0
0,T_1,T_1_cry_grw,cry_grw,120,0,0,0,66,waiting,0,sunlight,0
0,T_2,T_2_deposition,deposition,60,0,0,0,69,waiting,0,sunlight,0
0,T_2,T_2_ion_imp,ion_imp,20,0,0,0,70,waiting,0,sunlight,0
0,T_2,T_2_cry_grw,cry_grw,120,0,0,0,61,waiting,0,sunlight,0
0,T_3,T_3_deposition,deposition,60,0,0,0,55,waiting,0,sunlight,0
0,T_3,T_3_ion_imp,ion_imp,20,0,0,0,42,waiting,0,sunlight,0
0,T_3,T_3_cry_grw,cry_grw,120,0,0,0,73,waiting,0,sunlight,0
0,T_4,T_4_deposition,deposition,60,0,0,0,83,waiting,0,sunlight,0
0,T_4,T_4_ion_imp,ion_imp,20,0,0,0,89,waiting,0,sunlight,0
0,T_4,T_4_cry_grw,cry_grw,120,0,0,0,91,waiting,0,sunlight,0
0,T_5,T_5_deposition,deposition,60,0,0,0,95,waiting,0,sunlight,0
0,T_5,T_5_ion_imp,ion_imp,20,0,0,0,72,waiting,0,sunlight,0
0,T_5,T_5_cry_grw,cry_grw,120,0,0,0,54,waiting,0,sunlight,0
0,T_6,T_6_deposition,deposition,60,0,0,0,83,waiting,0,sunlight,0
0,T_6,T_6_ion_imp,ion_imp,20,0,0,0,67,waiting,0,sunlight,0
0,T_6,T_6_cry_grw,cry_grw,120,0,0,0,99,waiting,0,sunlight,0
0,T_7,T_7_deposition,deposition,60,0,0,0,94,waiting,0,sunlight,0
0,T_7,T_7_ion_imp,ion_imp,20,0,0,0,89,waiting,0,sunlight,0
0,T_7,T_7_cry_grw,cry_grw,120,0,0,0,66,waiting,0,sunlight,0
0,T_8,T_8_deposition,deposition,60,0,0,0,53,waiting,0,sunlight,0
0,T_8,T_8_ion_imp,ion_imp,20,0,0,0,57,waiting,0,sunlight,0
0,T_8,T_8_cry_grw,cry_grw,120,0,0,0,52,waiting,0,sunlight,0
0,T_9,T_9_deposition,deposition,60,0,0,0,95,waiting,0,sunlight,0
0,T_9,T_9_ion_imp,ion_imp,20,0,0,0,96,waiting,0,sunlight,0
0,T_9,T_9_cry_grw,cry_grw,120,0,0,0,67,waiting,0,sunlight,0
10,T_0,T_0_deposition,deposition,49,51,51,633,87,processing,0,sunlight,0
10,T_0,T_0_ion_imp,ion_imp,20,0,0,0,30,waiting,0,sunlight,0
10,T_0,T_0_cry_grw,cry_grw,120,0,0,0,97,waiting,0,sunlight,0
10,T_1,T_1_deposition,deposition,60,0,0,0,67,waiting,0,sunlight,0
10,T_1,T_1_ion_imp,ion_imp,20,0,0,0,97,waiting,0,sunlight,0
10,T_1,T_1_cry_grw,cry_grw,120,0,0,0,82,waiting,0,sunlight,0
10,T_2,T_2_deposition,deposition,60,0,0,0,39,waiting,0,sunlight,0
10,T_2,T_2_ion_imp,ion_imp,20,0,0,0,68,waiting,0,sunlight,0
10,T_2,T_2_cry_grw,cry_grw,120,0,0,0,97,waiting,0,sunlight,0
10,T_3,T_3_deposition,deposition,60,0,0,0,43,waiting,0,sunlight,0
10,T_3,T_3_ion_imp,ion_imp,20,0,0,0,90,waiting,0,sunlight,0
10,T_3,T_3_cry_grw,cry_grw,120,0,0,0,58,waiting,0,sunlight,0
10,T_4,T_4_deposition,deposition,60,0,0,0,31,waiting,0,sunlight,0
10,T_4,T_4_ion_imp,ion_imp,20,0,0,0,61,waiting,0,sunlight,0
10,T_4,T_4_cry_grw,cry_grw,120,0,0,0,34,waiting,0,sunlight,0
10,T_5,T_5_deposition,deposition,60,0,0,0,88,waiting,0,sunlight,0
10,T_5,T_5_ion_imp,ion_imp,20,0,0,0,72,waiting,0,sunlight,0
10,T_5,T_5_cry_grw,cry_grw,120,0,0,0,91,waiting,0,sunlight,0
10,T_6,T_6_deposition,deposition,60,0,0,0,95,waiting,0,sunlight,0
10,T_6,T_6_ion_imp,ion_imp,20,0,0,0,49,waiting,0,sunlight,0
10,T_6,T_6_cry_grw,cry_grw,120,0,0,0,39,waiting,0,sunlight,0
10,T_7,T_7_deposition,deposition,60,0,0,0,99,waiting,0,sunlight,0
10,T_7,T_7_ion_imp,ion_imp,20,0,0,0,42,waiting,0,sunlight,0
10,T_7,T_7_cry_grw,cry_grw,120,0,0,0,100,waiting,0,sunlight,0
10,T_8,T_8_deposition,deposition,60,0,0,0,68,waiting,0,sunlight,0
10,T_8,T_8_ion_imp,ion_imp,20,0,0,0,82,waiting,0,sunlight,0
10,T_8,T_8_cry_grw,cry_grw,120,0,0,0,86,waiting,0,sunlight,0
10,T_9,T_9_deposition,deposition,60,0,0,0,86,waiting,0,sunlight,0
10,T_9,T_9_ion_imp,ion_imp,20,0,0,0,50,waiting,0,sunlight,0
10,T_9,T_9_cry_grw,cry_grw,120,0,0,0,78,waiting,0,sunlight,0
20,T_0,T_0_deposition,deposition,39,75,75,1200,57,processing,0,sunlight,0
20,T_0,T_0_ion_imp,ion_imp,20,0,0,0,31,waiting,0,sunlight,0
20,T_0,T_0_cry_grw,cry_grw,120,0,0,0,50,waiting,0,sunlight,0
20,T_1,T_1_deposition,deposition,60,0,0,0,67,waiting,0,sunlight,0
20,T_1,T_1_ion_imp,ion_imp,20,0,0,0,34,waiting,0,sunlight,0
20,T_1,T_1_cry_grw,cry_grw,120,0,0,0,97,waiting,0,sunlight,0
20,T_2,T_2_deposition,deposition,60,0,0,0,86,waiting,0,sunlight,0
20,T_2,T_2_ion_imp,ion_imp,20,0,0,0,45,waiting,0,sunlight,0
20,T_2,T_2_cry_grw,cry_grw,120,0,0,0,31,waiting,0,sunlight,0
20,T_3,T_3_deposition,deposition,60,0,0,0,96,waiting,0,sunlight,0
20,T_3,T_3_ion_imp,ion_imp,20,0,0,0,51,waiting,0,sunlight,0
20,T_3,T_3_cry_grw,cry_grw,120,0,0,0,77,waiting,0,sunlight,0
20,T_4,T_4_deposition,deposition,60,0,0,0,73,waiting,0,sunlight,0
20,T_4,T_4_ion_imp,ion_imp,20,0,0,0,82,waiting,0,sunlight,0
20,T_4,T_4_cry_grw,cry_grw,120,0,0,0,86,waiting,0,sunlight,0
20,T_5,T_5_deposition,deposition,60,0,0,0,91,waiting,0,sunlight,0
20,T_5,T_5_ion_imp,ion_imp,20,0,0,0,97,waiting,0,sunlight,0
20,T_5,T_5_cry_grw,cry_grw,120,0,0,0,74,waiting,0,sunlight,0
20,T_6,T_6_deposition,deposition,60,0,0,0,79,waiting,0,sunlight,0
20,T_6,T_6_ion_imp,ion_imp,20,0,0,0,74,waiting,0,sunlight,0
20,T_6,T_6_cry_grw,cry_grw,120,0,0,0,32,waiting,0,sunlight,0
20,T_7,T_7_deposition,deposition,60,0,0,0,99,waiting,0,sunlight,0
20,T_7,T_7_ion_imp,ion_imp,20,0,0,0,53,waiting,0,sunlight,0
20,T_7,T_7_cry_grw,cry_grw,120,0,0,0,72,waiting,0,sunlight,0
20,T_8,T_8_deposition,deposition,60,0,0,0,60,waiting,0,sunlight,0
20,T_8,T_8_ion_imp,ion_imp,20,0,0,0,65,waiting,0,sunlight,0
20,T_8,T_8_cry_grw,cry_grw,120,0,0,0,50,waiting,0,sunlight,0
20,T_9,T_9_deposition,deposition,60,0,0,0,38,waiting,0,sunlight,0
20,T_9,T_9_ion_imp,ion_imp,20,0,0,0,95,waiting,0,sunlight,0
20,T_9,T_9_cry_grw,cry_grw,120,0,0,0,56,waiting,0,sunlight,0
30,T_0,T_0_deposition,deposition,29,41,41,1760,68,processing,0,sunlight,0
30,T_0,T_0_ion_imp,ion_imp,20,0,0,0,40,waiting,0,sunlight,0
30,T_0,T_0_cry_grw,cry_grw,120,0,0,0,36,waiting,0,sunlight,0
30,T_1,T_1_deposition,deposition,60,0,0,0,42,waiting,0,sunlight,0
30,T_1,T_1_ion_imp,ion_imp,20,0,0,0,71,waiting,0,sunlight,0
30,T_1,T_1_cry_grw,cry_grw,120,0,0,0,70,waiting,0,sunlight,0
30,T_2,T_2_deposition,deposition,60,0,0,0,95,waiting,0,sunlight,0
30,T_2,T_2_ion_imp,ion_imp,20,0,0,0,80,waiting,0,sunlight,0
30,T_2,T_2_cry_grw,cry_grw,120,0,0,0,57,waiting,0,sunlight,0
30,T_3,T_3_deposition,deposition,60,0,0,0,60,waiting,0,sunlight,0
30,T_3,T_3_ion_imp,ion_imp,20,0,0,0,39,waiting,0,sunlight,0
30,T_3,T_3_cry_grw,cry_grw,120,0,0,0,78,waiting,0,sunlight,0
30,T_4,T_4_deposition,deposition,60,0,0,0,42,waiting,0,sunlight,0
30,T_4,T_4_ion_imp,ion_imp,20,0,0,0,49,waiting,0,sunlight,0
30,T_4,T_4_cry_grw,cry_grw,120,0,0,0,48,waiting,0,sunlight,0
30,T_5,T_5_deposition,deposition,60,0,0,0,55,waiting,0,sunlight,0
30,T_5,T_5_ion_imp,ion_imp,20,0,0,0,75,waiting,0,sunlight,0
30,T_5,T_5_cry_grw,cry_grw,120,0,0,0,89,waiting,0,sunlight,0
30,T_6,T_6_deposition,deposition,60,0,0,0,30,waiting,0,sunlight,0
30,T_6,T_6_ion_imp,ion_imp,20,0,0,0,48,waiting,0,sunlight,0
30,T_6,T_6_cry_grw,cry_grw,120,0,0,0,40,waiting,0,sunlight,0
30,T_7,T_7_deposition,deposition,60,0,0,0,77,waiting,0,sunlight,0
30,T_7,T_7_ion_imp,ion_imp,20,0,0,0,81,waiting,0,sunlight,0
30,T_7,T_7_cry_grw,cry_grw,120,0,0,0,68,waiting,0,sunlight,0
